epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0998,2.23801,3.49773,1.96087,0.02408,1,0.12704,0.05756,1.47155,3.06944,1.22764,0.0001429,0.0001429,0.0001429
2,51.7458,1.43128,3.00689,1.26445,0.02257,1,0.63752,0.38125,1.1988,2.93112,1.01866,0.000297119,0.000297119,0.000297119
3,72.9076,1.27133,2.56374,1.17219,0.02022,0.96667,0.69415,0.43757,1.07008,2.84489,1.03137,0.000448226,0.000448226,0.000448226
4,95.0707,1.18083,2.22841,1.12502,0.01968,1,0.79458,0.50589,1.01075,2.69508,0.95538,0.00059622,0.00059622,0.00059622
5,117.417,1.22847,1.88428,1.16404,0.04924,1,0.80461,0.64365,0.90313,2.4692,0.97119,0.000741102,0.000741102,0.000741102
6,139.573,1.17861,1.56811,1.13325,0.90715,0.70348,0.92828,0.67078,1.07701,1.91326,1.05329,0.000882872,0.000882872,0.000882872
7,164.826,1.17026,1.38255,1.13908,0.92373,0.82781,0.98449,0.72795,1.07569,1.54717,1.02738,0.00102153,0.00102153,0.00102153
8,188.92,1.16835,1.26515,1.1355,0.96009,0.98628,0.995,0.80349,0.97171,1.20403,0.97289,0.00115707,0.00115707,0.00115707
9,208.362,1.1434,1.18541,1.11395,0.8968,0.99692,0.97611,0.70795,1.00792,0.98081,1.07171,0.00128951,0.00128951,0.00128951
10,230.309,1.12496,1.167,1.11848,0.86307,0.96478,0.97384,0.74771,0.92631,0.94779,0.98256,0.00130168,0.00130168,0.00130168
11,251.771,1.10496,1.08741,1.09249,0.9543,1,0.995,0.76506,1.02574,0.85729,0.96471,0.00128753,0.00128753,0.00128753
12,272.653,1.08998,1.03641,1.07746,0.94277,0.98782,0.98449,0.75039,0.8712,0.81345,0.93482,0.00127338,0.00127338,0.00127338
13,293.227,1.0753,1.02651,1.06538,0.92636,0.98765,0.98894,0.73808,0.92579,0.87322,0.91826,0.00125923,0.00125923,0.00125923
14,314.851,1.0391,0.99254,1.03413,0.95729,0.99504,0.995,0.7774,0.94959,0.928,0.92238,0.00124509,0.00124509,0.00124509
15,336.382,0.98815,1.00642,1.05967,0.97486,1,0.995,0.79979,0.7754,0.77402,0.90021,0.00123094,0.00123094,0.00123094
16,360.333,0.94155,1.03687,1.06743,0.98312,0.99973,0.995,0.8227,0.73121,0.79383,0.89114,0.00121679,0.00121679,0.00121679
17,382.519,0.89581,0.89461,1.00477,0.98633,0.99347,0.995,0.82239,0.77562,0.67529,0.9155,0.00120265,0.00120265,0.00120265
18,403.589,0.90143,0.8625,1.01944,0.97924,1,0.995,0.83307,0.70837,0.6736,0.90352,0.0011885,0.0011885,0.0011885
19,426.049,0.84801,0.82225,1.00558,0.95507,1,0.995,0.83979,0.66634,0.6552,0.91942,0.00117435,0.00117435,0.00117435
20,447.528,0.88174,0.83878,0.97382,0.9844,1,0.995,0.80337,0.69437,0.62424,0.86176,0.00116021,0.00116021,0.00116021
21,468.189,0.82756,0.80871,0.9773,0.98125,1,0.995,0.81276,0.75451,0.65325,0.8668,0.00114606,0.00114606,0.00114606
22,489.587,0.8333,0.79199,0.99747,0.9648,1,0.995,0.80913,0.82604,0.65142,0.89378,0.00113191,0.00113191,0.00113191
23,512.735,0.82521,0.77785,0.99023,0.97308,1,0.995,0.83885,0.63672,0.61475,0.83831,0.00111776,0.00111776,0.00111776
24,535.831,0.83321,0.77742,0.99252,0.98636,1,0.995,0.83533,0.71279,0.58728,0.86348,0.00110362,0.00110362,0.00110362
25,556.902,0.80683,0.77792,0.97477,0.96952,1,0.995,0.85472,0.65099,0.57495,0.84898,0.00108947,0.00108947,0.00108947
26,578.773,0.82934,0.75129,0.97349,0.97366,1,0.995,0.85113,0.64069,0.58319,0.84961,0.00107532,0.00107532,0.00107532
27,599.686,0.80734,0.73548,0.97254,0.98546,1,0.995,0.85532,0.6283,0.58232,0.85782,0.00106118,0.00106118,0.00106118
28,619.842,0.79281,0.73079,0.96327,0.99165,1,0.995,0.85026,0.64678,0.53341,0.86206,0.00104703,0.00104703,0.00104703
29,639.819,0.78093,0.71665,0.97133,0.98818,1,0.995,0.84827,0.69627,0.53989,0.86147,0.00103288,0.00103288,0.00103288
30,659.775,0.78994,0.71361,0.95866,0.97841,1,0.995,0.84844,0.67531,0.52657,0.8589,0.00101873,0.00101873,0.00101873
31,680.137,0.74737,0.68774,0.95333,0.9797,1,0.995,0.85,0.59693,0.51508,0.82713,0.00100459,0.00100459,0.00100459
32,700.662,0.77803,0.70211,0.96091,0.98128,1,0.995,0.83465,0.66621,0.53672,0.83504,0.00099044,0.00099044,0.00099044
