epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0433,2.27963,5.13234,3.50916,1.97007,0.02179,0.93333,0.28724,0.15969,0.00704,0.43889,0.09086,0.03113,1.20561,2.93086,3.02068,1.14057,0.0001429,0.0001429,0.0001429
2,65.2575,1.37539,2.91059,3.02645,1.26138,0.02056,1,0.58896,0.2652,0.02056,1,0.46077,0.23485,1.38379,1.91593,2.93973,1.04193,0.000297119,0.000297119,0.000297119
3,94.4132,1.21828,1.84669,2.57416,1.16037,0.02057,1,0.74436,0.53084,0.02057,1,0.61417,0.38284,0.9401,1.51151,2.84814,0.95738,0.000448226,0.000448226,0.000448226
4,123.842,1.20034,1.56645,2.20306,1.11662,0.01997,1,0.52321,0.35401,0.01997,1,0.67614,0.39443,1.36888,1.16792,2.85766,1.07249,0.00059622,0.00059622,0.00059622
5,153.261,1.23088,1.41137,1.9011,1.13637,0.01995,1,0.6783,0.46754,0.01946,0.96667,0.67058,0.52515,1.21871,1.02923,2.59539,0.99745,0.000741102,0.000741102,0.000741102
6,182.985,1.15227,1.25952,1.60006,1.11089,1,0.29057,0.68048,0.57352,1,0.29057,0.68016,0.56685,0.97719,0.78929,2.31801,0.97847,0.000882872,0.000882872,0.000882872
7,211.821,1.14017,1.28492,1.417,1.10474,0.97567,0.54045,0.79973,0.56156,0.97567,0.54045,0.78361,0.61864,1.36315,0.70188,1.80717,1.11211,0.00102153,0.00102153,0.00102153
8,240.511,1.24757,1.17715,1.33347,1.13716,0.9658,0.73455,0.9192,0.69941,0.96616,0.73085,0.9122,0.74868,1.1082,0.53176,1.46791,1.06987,0.00115707,0.00115707,0.00115707
9,270.075,1.18888,1.14589,1.21709,1.10769,0.91983,0.93057,0.9835,0.70262,0.88613,0.9,0.94591,0.70143,1.21742,1.10874,1.05996,1.07244,0.00128951,0.00128951,0.00128951
10,299.132,1.20473,1.18002,1.18018,1.12081,0.91406,0.97827,0.995,0.72792,0.91406,0.97827,0.995,0.78272,1.14965,0.6152,0.91786,1.04674,0.00130168,0.00130168,0.00130168
11,328.343,1.12542,1.06575,1.08303,1.0996,0.81126,0.96667,0.9325,0.67434,0.81126,0.96667,0.9325,0.77933,1.1894,0.46481,0.93034,1.09011,0.00128753,0.00128753,0.00128753
12,358.555,1.05799,1.02382,1.01408,1.07085,0.94242,0.99844,0.995,0.75195,0.94242,0.99844,0.995,0.77964,0.83851,0.52489,0.80348,0.95169,0.00127338,0.00127338,0.00127338
13,386.587,1.08788,0.99613,1.01184,1.06447,0.95696,0.9939,0.995,0.72219,0.95696,0.9939,0.995,0.81599,1.085,0.48472,0.80257,1.02486,0.00125923,0.00125923,0.00125923
14,415.124,1.00292,0.97713,0.95413,1.02279,0.97377,0.97135,0.995,0.74995,0.97377,0.97135,0.995,0.84407,0.93009,0.47275,0.82787,0.96635,0.00124509,0.00124509,0.00124509
15,442.98,1.04317,0.9416,0.99738,1.06697,0.98152,0.99889,0.995,0.72181,0.98152,0.99889,0.995,0.83046,1.1395,0.4534,0.87378,1.02575,0.00123094,0.00123094,0.00123094
16,470.883,0.99094,1.11656,1.01183,1.05166,0.96552,1,0.995,0.7817,0.96552,1,0.995,0.85061,1.03443,0.43365,0.83779,0.97319,0.00121679,0.00121679,0.00121679
17,498.639,0.92358,0.87772,0.88597,1.0083,0.9725,0.96667,0.99197,0.81994,0.9725,0.96667,0.99197,0.83211,0.76099,0.45912,0.69413,0.89384,0.00120265,0.00120265,0.00120265
18,526.823,0.95855,0.89297,0.86281,1.02706,0.99048,1,0.995,0.80837,0.99048,1,0.995,0.86443,0.74074,0.41963,0.66453,0.91923,0.0011885,0.0011885,0.0011885
19,554.687,0.9264,0.79861,0.83287,1.03118,0.99067,1,0.995,0.7939,0.99067,1,0.995,0.80991,0.75992,0.52049,0.74151,0.91245,0.00117435,0.00117435,0.00117435
20,582.874,0.9362,0.89188,0.84288,0.99494,0.99224,1,0.995,0.81455,0.99224,1,0.995,0.82315,0.72341,0.43849,0.64783,0.88716,0.00116021,0.00116021,0.00116021
21,610.694,0.87305,0.7517,0.80557,0.99112,0.96528,1,0.995,0.83209,0.96528,1,0.995,0.83576,0.73595,0.44308,0.69297,0.92428,0.00114606,0.00114606,0.00114606
22,638.718,0.85018,0.80423,0.79346,1.00225,0.98718,1,0.995,0.80338,0.98718,1,0.995,0.8494,0.7343,0.42713,0.66515,0.89586,0.00113191,0.00113191,0.00113191
